mass,limit_95,med_limit,2sigma_up,1sigma_up,1sigma_down,test_statistic
0.14111,1.2327872251426024e-09,1.0990042481656014e-09,1.6350993870270275e-09,1.3930820779991114e-09,6.891657342013271e-10,0.4288673042003675
0.14115,1.355440998199906e-09,1.0995175017957214e-09,1.6348158601601146e-09,1.3931180197553106e-09,6.907355145979903e-10,0.8655189782013258
0.1412,1.425872829115614e-09,1.095200863593276e-09,1.6314436711215236e-09,1.3894359703016578e-09,6.844042539855068e-10,1.1361968107963811
0.14125,1.3879776149812942e-09,1.095052967761992e-09,1.6309947197201378e-09,1.389113885301037e-09,6.845847489036174e-10,0.9924125605872999
0.14129,1.311087519492231e-09,1.0963111336677577e-09,1.6317906901610202e-09,1.3900769847028835e-09,6.866530465242799e-10,0.7085843716423501
0.14134,1.1633153651724159e-09,1.09552888881062e-09,1.6311322226478048e-09,1.3893829817780138e-09,6.85556202996086e-10,0.20848670939944863
0.14138,1.048090632027613e-09,1.0951911370856896e-09,1.630874617585252e-09,1.3890984675124908e-09,6.850543026057707e-10,-0.14035076674157013
0.14143,9.022626492808219e-10,1.094030887931994e-09,1.6298447020627032e-09,1.3880371195744177e-09,6.834963350284195e-10,-0.5292729229722702
0.14147,8.246068902658744e-10,1.094088161638889e-09,1.6296985189256815e-09,1.3879739548701736e-09,6.838065106497955e-10,-0.7126613756797049
0.14152,7.341954060879608e-10,1.095234615015108e-09,1.6302719718328276e-09,1.3887625199930586e-09,6.858707092537888e-10,-0.9055479731534486
0.14157,7.052940875958273e-10,1.0913090682679423e-09,1.6242274146786772e-09,1.3836673936902409e-09,6.836477977749959e-10,-0.9573842928777728
0.14161,7.292873648466685e-10,1.0869813286132218e-09,1.6189605327272941e-09,1.3788702124227333e-09,6.795372343277202e-10,-0.9059105544263245
0.14166,7.942003529611882e-10,1.0894956516970504e-09,1.6206261013435399e-09,1.3808392797000214e-09,6.835812016997091e-10,-0.7684630644251839
0.1417,8.95595997962485e-10,1.0885393364635194e-09,1.6203110580908088e-09,1.3802778564292707e-09,6.816595717743087e-10,-0.5312367653688659
0.14175,1.0433224150240258e-09,1.0886990153335135e-09,1.6203417210872514e-09,1.3803572552274667e-09,6.820153578145346e-10,-0.13326853419520202
0.1418,1.190153126519306e-09,1.0898307231888818e-09,1.6211236096759462e-09,1.3812612416846964e-09,6.838057311836875e-10,0.3220256718921302
0.14184,1.2949309091749369e-09,1.090068683666643e-09,1.6213127587259054e-09,1.3814657310529682e-09,6.841536749816832e-10,0.6834662829646115
0.14189,1.3722273199220572e-09,1.090638384183437e-09,1.6215801015642475e-09,1.381847579201671e-09,6.85200878675808e-10,0.9703723797339797
0.14193,1.3961819723901493e-09,1.089657174263913e-09,1.6209371808647185e-09,1.3810832060739646e-09,6.836125427357548e-10,1.0624245485471213
0.14198,1.3784693687288157e-09,1.0882102136823901e-09,1.6200433949995683e-09,1.3799890709629866e-09,6.812010134835405e-10,0.9936733547391466
0.14202,1.3013902723011155e-09,1.0891001312303969e-09,1.6205462091724646e-09,1.380631763804477e-09,6.827473725905512e-10,0.7074099395269258
0.14207,1.2199073973366618e-09,1.0845367919475807e-09,1.6155151808307487e-09,1.3758826838404953e-09,6.777848754673204e-10,0.4311615179700514
0.14212,1.1500824369535349e-09,1.0790231397699288e-09,1.6058729495831672e-09,1.3680494619021282e-09,6.760342958157138e-10,0.22527660198137736
0.14216,1.0990142710915882e-09,1.0786273181698628e-09,1.6055870132577182e-09,1.367728404094648e-09,6.754079803018661e-10,0.06289151746649944
0.14221,9.714745148793308e-10,1.0769767332148288e-09,1.6043341456343565e-09,1.3663411585613553e-09,6.729512222970467e-10,-0.3099901170904348
0.14225,8.489272581751718e-10,1.0787199547092397e-09,1.6055185607542974e-09,1.367727342589134e-09,6.757087024483054e-10,-0.6255864983489963
0.1423,6.759591034966818e-10,1.0789818913047108e-09,1.6058521385090992e-09,1.3680211778249847e-09,6.759591034966818e-10,-1.1602888245447882
0.14235,6.761966052973638e-10,1.07909597254711e-09,1.6058837713815733e-09,1.3680844256934183e-09,6.761966052973638e-10,-1.2118945598847388
0.14239,6.721123712752515e-10,1.0767668422846023e-09,1.6046341267008483e-09,1.3664313887940428e-09,6.721123712752515e-10,-1.018243794709745
0.14244,8.77858022579941e-10,1.0778601290673718e-09,1.6055532352949525e-09,1.3674011683616814e-09,6.736414556197554e-10,-0.556368740321032
0.14248,9.655820042671774e-10,1.065929353705076e-09,1.5874565882053917e-09,1.3520750332199076e-09,6.665690889915325e-10,-0.29730884463867496
0.14253,1.0607560289341137e-09,1.0598646110479528e-09,1.577672089094958e-09,1.3439410802828388e-09,6.636673087646916e-10,0.002929183062446367
0.14258,1.0854799266862875e-09,1.0576666946040228e-09,1.5741141546500462e-09,1.340987364794764e-09,6.626234528458369e-10,0.08892742849913343
0.14262,1.1199620877182197e-09,1.0542706948077442e-09,1.56971728443058e-09,1.3370681980705304e-09,6.597102702463385e-10,0.20989100701607122
0.14267,1.1439260178662765e-09,1.0510518323212678e-09,1.5638113861799103e-09,1.3323332320265365e-09,6.590149723506229e-10,0.3069992992952652
0.14271,1.213738311037202e-09,1.0520031596771523e-09,1.5646212839282162e-09,1.3331842150982957e-09,6.603298440228842e-10,0.5515919118800912
0.14276,1.2921761454676456e-09,1.0504524535806806e-09,1.5637670307402885e-09,1.3320702027855504e-09,6.576351650125246e-10,0.8436550753772599
0.14281,1.3913952035980817e-09,1.0499201014367907e-09,1.5634713141859614e-09,1.3316867201080267e-09,6.567121008966588e-10,1.2400621787715782
0.14285,1.417282164874139e-09,1.0427586360998051e-09,1.554036395776688e-09,1.3233256437033017e-09,6.507731277506068e-10,1.3808708499043438
0.1429,1.4222920342598608e-09,1.043401028897913e-09,1.552000112062248e-09,1.322382445388755e-09,6.547360692557835e-10,1.4200756886735904
0.14295,1.3692716416002502e-09,1.043742819626301e-09,1.552157499978125e-09,1.322606223290121e-09,6.553888477442942e-10,1.1964728185139635
0.14299,1.3142040744223789e-09,1.0431692748158398e-09,1.5519318976179277e-09,1.3222474848814329e-09,6.542822469756242e-10,0.9715709610416075
0.14304,1.2068382853058522e-09,1.0440347729703457e-09,1.5526194956478448e-09,1.3229931635921691e-09,6.555348790381306e-10,0.560898780124667
0.14308,1.0571256131453869e-09,1.0421584964722221e-09,1.5516872889058805e-09,1.3217044234629393e-09,6.5215542627124e-10,0.046330731606511855
